epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.603,0.63784,2.995,1.1903,0.00764,1,0.40677,0.37252,0.19798,3.62984,0.85675,0.0001429,0.0001429,0.0001429
2,306.19,0.55458,2.58127,1.12499,0.0118,1,0.47008,0.42295,0.24236,3.61981,0.83468,0.000295139,0.000295139,0.000295139
3,443.581,0.55662,2.13996,1.11443,0.01519,1,0.55973,0.49789,0.26912,3.56869,0.87647,0.00044219,0.00044219,0.00044219
4,582.674,0.63822,1.72938,1.16328,0.89861,0.36022,0.88429,0.79822,0.40135,3.40037,0.95725,0.000584054,0.000584054,0.000584054
5,721.985,0.6427,1.52219,1.16632,1,0.12697,0.79701,0.67113,0.3625,3.32202,0.93317,0.00072073,0.00072073,0.00072073
6,860.275,0.5886,1.26526,1.12843,0.84444,0.28732,0.65089,0.55657,0.43524,3.16367,1.01049,0.00085222,0.00085222,0.00085222
7,998.933,0.53686,1.18892,1.05885,0.834,0.65401,0.9604,0.76609,0.57507,2.78155,1.2002,0.000978522,0.000978522,0.000978522
8,1139.32,0.6062,1.25802,1.15988,0.86127,0.43104,0.80653,0.62566,0.75381,3.23361,1.39076,0.00109964,0.00109964,0.00109964
9,1279.32,0.61901,1.23012,1.14231,0.56243,0.4164,0.53969,0.45321,0.58672,3.33304,1.20435,0.00121556,0.00121556,0.00121556
10,1421.05,0.65784,1.21262,1.10908,0.68233,0.72155,0.89742,0.60341,0.66855,2.53237,1.22843,0.00121679,0.00121679,0.00121679
11,1561.97,0.56447,1.13256,1.08381,0.82554,0.56667,0.43162,0.35058,0.57884,2.81771,1.13093,0.00119322,0.00119322,0.00119322
12,1698.86,0.61851,1.05914,1.13657,0.8011,0.9,0.88852,0.79186,0.48235,2.09441,1.03561,0.00116964,0.00116964,0.00116964
13,1837.61,0.60891,1.01198,1.13403,0.746,0.8,0.82943,0.69259,0.59275,2.51961,1.11813,0.00114606,0.00114606,0.00114606
14,1974.5,0.59076,1.04769,1.09864,0.78579,0.99421,0.96537,0.90779,0.42428,1.54269,0.95515,0.00112248,0.00112248,0.00112248
15,2110.77,0.55821,0.94654,1.08319,0.86498,0.93333,0.93389,0.83241,0.47608,1.6541,1.0065,0.0010989,0.0010989,0.0010989
16,2249.26,0.55221,0.96532,1.0939,0.75415,0.92217,0.95864,0.86377,0.51308,1.62439,1.02288,0.00107532,0.00107532,0.00107532
17,2386.89,0.56669,0.92082,1.09755,0.83791,0.93333,0.9349,0.85201,0.44994,1.57812,0.97424,0.00105174,0.00105174,0.00105174
18,2525.13,0.5662,0.84912,1.09699,0.95676,1,0.995,0.94655,0.38968,1.47782,0.94711,0.00102817,0.00102817,0.00102817
19,2663.54,0.53484,0.84509,1.09217,0.77042,0.8375,0.91278,0.88342,0.37096,1.76728,0.93054,0.00100459,0.00100459,0.00100459
20,2801.05,0.52104,0.80511,1.04959,0.87065,0.93333,0.98389,0.9628,0.3024,1.73371,0.89569,0.000981008,0.000981008,0.000981008
21,2939.1,0.49777,0.78579,1.07525,0.80701,0.96667,0.94623,0.86054,0.33637,1.42531,0.93425,0.00095743,0.00095743,0.00095743
22,3075.08,0.53424,0.79641,1.06965,0.91336,0.93693,0.96722,0.86568,0.3774,1.22274,0.94915,0.000933851,0.000933851,0.000933851
23,3215.83,0.52682,0.74039,1.07231,0.92552,0.93871,0.96881,0.89831,0.416,1.26367,0.98938,0.000910273,0.000910273,0.000910273
